Trait,Type,PC1,PC2,PC3
FD_D,Original,-0.15924337432688,0.304961276383454,0.0393101520434146
FD_I,Opposite,0.15924337432688,-0.304961276383454,-0.0393101520434146
FS_A,Opposite,0.104476520756523,-0.393082680926599,-0.235140057324418
FS_Z,Original,-0.104476520756523,0.393082680926599,0.235140057324418
FT_D,Original,-0.378294822351434,-0.031799809034119,0.0369567429030104
FT_F,Opposite,0.378294822351434,0.031799809034119,-0.0369567429030104
GF_H,Original,-0.375983270712188,-0.0951786529281666,-0.00962850939008309
GF_W,Opposite,0.375983270712188,0.0951786529281666,0.00962850939008309
IF_D,Opposite,0.298307373979798,0.145579111046113,-0.259838017023985
IF_I,Original,-0.298307373979798,-0.145579111046113,0.259838017023985
LC_A,Original,-0.202202852516423,0.376498782247896,-0.0953282423009485
LC_P,Opposite,0.202202852516423,-0.376498782247896,0.0953282423009485
LM_E,Opposite,0.307053944445508,0.0815809880558898,0.181775791252528
LM_L,Original,-0.307053944445508,-0.0815809880558898,-0.181775791252528
LS_C,Original,-0.0481174296300503,0.175310785235925,-0.571420047279211
LS_S,Opposite,0.0481174296300503,-0.175310785235925,0.571420047279211
LV_P,Original,-0.286858979615518,-0.203263127059873,0.368218378142047
LV_R,Opposite,0.286858979615518,0.203263127059873,-0.368218378142047
OP_E,Opposite,0.123603151010615,0.114978816320849,0.483937298627853
OP_H,Original,-0.123603151010615,-0.114978816320849,-0.483937298627853
PF_C,Original,-0.155205198683178,-0.433462433631165,-0.117406532439164
PF_S,Opposite,0.155205198683178,0.433462433631165,0.117406532439164
PH_D,Original,-0.329494368578768,-0.00888291621288376,-0.262989172829519
PH_E,Opposite,0.329494368578768,0.00888291621288376,0.262989172829519
PT_M,Opposite,0.299511135816399,0.261645540739733,-0.106648487744281
PT_U,Original,-0.299511135816399,-0.261645540739733,0.106648487744281
RS_F,Opposite,0.292776847744678,-0.255271087289604,0.0956479791856238
RS_T,Original,-0.292776847744678,0.255271087289604,-0.0956479791856238
SS_B,Original,-0.217114965622963,0.407374705652382,0.179690458871226
SS_U,Opposite,0.217114965622963,-0.407374705652382,-0.179690458871226
